keys,en,en_XA
MENU_PLAY,Play,[Pläý ~~~~]
MENU_MULTIPLAYER,Multiplayer,[Mültïpläýér ~~~~]
MENU_QUICK_MATCH,Quick match,[Qüïck mätch ~~~~]
MENU_SETTINGS,Settings,[Séttïngs ~~~~]
MENU_QUIT,Quit,[Qüït ~~~~]
PAUSE_TITLE,PAUSED,[PÅÜSÉD ~~~~]
PAUSE_RESUME,Resume,[Résümé ~~~~]
PAUSE_SETTINGS,Settings,[Séttïngs ~~~~]
PAUSE_LEAVE_MATCH,Leave Match,[Léävé Mätch ~~~~]
COMMON_BACK,Back,[Bäck ~~~~]
COMMON_PORT,Port,[Pört ~~~~]
COMMON_MODE,Mode,[Mödé ~~~~]
COMMON_PRISONERS,Prisoners,[Prïsönérs ~~~~]
COMMON_GHOSTS,Ghosts,[Ghösts ~~~~]
COMMON_CATCH_AND_SWAP,Catch and swap,[Cätch änd swäp ~~~~]
DEATH_OUT_ROUND,OUT  ·  ROUND {round},[ÖÜT  ·  RÖÜND {round} ~~~~ ~~~~]
DEATH_CAUSE_DOWN,DOWN,[DÖWN ~~~~]
DEATH_CAUSE_LAVA,LAVA,[LÅVÅ ~~~~]
DEATH_CAUSE_FELL,FELL,[FÉLL ~~~~]
DEATH_CAUSE_SHOT,SHOT,[SHÖT ~~~~]
DEATH_HINT_GHOST,GHOST — catch a prisoner to take their place,[GHÖST — cätch ä prïsönér tö täké théïr pläcé ~~~~ ~~~~ ~~~~]
DEATH_HINT_RESTART,[R] restart match,[[R] réstärt mätch ~~~~ ~~~~]
RESULT_VICTORY,VICTORY,[VÏCTÖRÝ ~~~~]
RESULT_DEFEAT,DEFEAT,[DÉFÉÅT ~~~~]
RESULT_MATCH_OVER,MATCH OVER,[MÅTCH ÖVÉR ~~~~]
RESULT_PRESS_ANY_KEY,PRESS ANY KEY,[PRÉSS ÅNÝ KÉÝ ~~~~]
RESULT_PLAY_AGAIN,Play Again,[Pläý Ågäïn ~~~~]
RESULT_MAIN_MENU,Main Menu,[Mäïn Ménü ~~~~]
RESULT_BACK_TO_HUB,Back to the hub,[Bäck tö thé hüb ~~~~]
RESULT_NO_WINNER,The match ended without a winner.,[Thé mätch éndéd wïthöüt ä wïnnér. ~~~~ ~~~~]
RESULT_YOU_HELD_TOWER,You held the tower and cleared the ring.,[Ýöü héld thé töwér änd cléäréd thé rïng. ~~~~ ~~~~ ~~~~]
RESULT_WINNER_HELD_TOWER,{name} held the tower and cleared the ring.,[{name} héld thé töwér änd cléäréd thé rïng. ~~~~ ~~~~ ~~~~]
RESULT_ROLE_TOWER_FELL,You were in the tower when it fell.,[Ýöü wéré ïn thé töwér whén ït féll. ~~~~ ~~~~ ~~~~]
RESULT_ROLE_PRISONER_SURVIVED,You were a prisoner and you survived.,[Ýöü wéré ä prïsönér änd ýöü sürvïvéd. ~~~~ ~~~~ ~~~~]
RESULT_ROLE_PRISONER_GHOST,You were a prisoner. The rifle took you and you finished as a ghost.,[Ýöü wéré ä prïsönér. Thé rïflé töök ýöü änd ýöü fïnïshéd äs ä ghöst. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]
RESULT_ROLE_PRISONER_CLEARED,You were a prisoner and the tower cleared you.,[Ýöü wéré ä prïsönér änd thé töwér cléäréd ýöü. ~~~~ ~~~~ ~~~~]
RESULT_DETAIL_TOWER,"Tower: {name}, turn {turn}, {rounds} round(s) held","[Töwér: {name}, türn {turn}, {rounds} röünd(s) héld ~~~~ ~~~~ ~~~~]"
RESULT_DETAIL_ROUNDS,Rounds played: {rounds},[Röünds pläýéd: {rounds} ~~~~ ~~~~]
RESULT_DETAIL_CLEARED,Prisoners cleared: {cleared} of {total},[Prïsönérs cléäréd: {cleared} öf {total} ~~~~ ~~~~ ~~~~]
RESULT_DETAIL_SWAPS,Ghost swaps: {swaps},[Ghöst swäps: {swaps} ~~~~ ~~~~]
ROUND_TITLE,ROUND {round},[RÖÜND {round} ~~~~]
ROUND_PRISONERS,PRISONERS  {count},[PRÏSÖNÉRS  {count} ~~~~ ~~~~]
ROUND_TOWER_UNCLAIMED,TOWER  UNCLAIMED,[TÖWÉR  ÜNCLÅÏMÉD ~~~~]
ROUND_TOWER,TOWER  {name}  ·  TURN {turn},[TÖWÉR  {name}  ·  TÜRN {turn} ~~~~ ~~~~]
ROUND_PRESS_ANY_KEY_TO_SKIP,PRESS ANY KEY TO SKIP,[PRÉSS ÅNÝ KÉÝ TÖ SKÏP ~~~~ ~~~~]
SETUP_TITLE,START A MATCH,[STÅRT Å MÅTCH ~~~~]
SETUP_MAP,Map,[Mäp ~~~~]
SETUP_RULES,Rules,[Rülés ~~~~]
SETUP_OPENING,Opening,[Öpénïng ~~~~]
SETUP_HITS_TO_CONVERT,Hits to Convert,[Hïts tö Cönvért ~~~~]
SETUP_TOWER_WINS_BY,Tower Wins By,[Töwér Wïns Bý ~~~~]
SETUP_PRISONERS_WIN_BY,Prisoners Win By,[Prïsönérs Wïn Bý ~~~~]
SETUP_PRISONER_POWER,Prisoner Power,[Prïsönér Pöwér ~~~~]
SETUP_ROUNDS_TO_WIN,Rounds To Win,[Röünds Tö Wïn ~~~~]
SETUP_RESTORE_CANON,Restore Canon,[Réstöré Cänön ~~~~]
SETUP_START_MATCH,Start Match,[Stärt Mätch ~~~~]
SETUP_NO_MAPS,No maps found,[Nö mäps föünd ~~~~]
SETUP_CUSTOM,Custom,[Cüstöm ~~~~]
SETUP_PRESET_DEFAULT,{title} (the default),[{title} (thé défäült) ~~~~ ~~~~]
SETUP_OPENING_RACE,Race for the tower,[Räcé för thé töwér ~~~~ ~~~~]
SETUP_OPENING_TOWER,Open in the tower,[Öpén ïn thé töwér ~~~~ ~~~~]
SETUP_OPENING_RING,Open on the ring,[Öpén ön thé rïng ~~~~]
SETUP_HITS_ONE,1 hit,[1 hït ~~~~]
SETUP_HITS_MANY,{count} hits,[{count} hïts ~~~~]
SETUP_NO_MAP_LOADED,No map could be loaded. The game cannot start a match until {path} names one.,[Nö mäp cöüld bé löädéd. Thé gämé cännöt stärt ä mätch üntïl {path} nämés öné. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]
SETUP_BADGE_CUSTOM,custom rules,[cüstöm rülés ~~~~]
SETUP_BADGE_CANON,CANON,[CÅNÖN ~~~~]
SETUP_CUSTOM_SUMMARY,"These rules are not one of the named modes. Pick a mode above to set a whole coherent set at once, or press Restore Canon.","[Thésé rülés äré nöt öné öf thé näméd mödés. Pïck ä mödé äbövé tö sét ä whölé cöhérént sét ät öncé, ör préss Réstöré Cänön. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
SETUP_IN_THE_MATCH,{count} in the match,[{count} ïn thé mätch ~~~~ ~~~~]
SETUP_READOUT_RACE,first to the end takes it,[fïrst tö thé énd täkés ït ~~~~ ~~~~]
SETUP_READOUT_TOWER,you start with the rifle,[ýöü stärt wïth thé rïflé ~~~~ ~~~~]
SETUP_READOUT_RING,{name} starts with the rifle,[{name} stärts wïth thé rïflé ~~~~ ~~~~]
SETUP_ROUNDS_ONE,one round,[öné röünd ~~~~]
SETUP_ROUNDS_MANY,{count} rounds,[{count} röünds ~~~~]
SETUP_NOTE_EXTRA_HITS,"A prisoner who survives a hit gets no hit reaction and no recovery: the extra hits are real, the feedback for them is not designed yet.","[Å prïsönér whö sürvïvés ä hït géts nö hït réäctïön änd nö récövérý: thé éxträ hïts äré réäl, thé féédbäck för thém ïs nöt désïgnéd ýét. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
SETUP_NOTE_LONE_GHOST,"With one prisoner a ghost has nobody to catch, so the mechanic never comes up.","[Wïth öné prïsönér ä ghöst häs nöbödý tö cätch, sö thé méchänïc névér cömés üp. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
SETUP_NOTE_SKIP_RACE,"Skipping the race hands the tower straight to {name} on turn one, with everybody else already running. It is the round the race would have started.","[Skïppïng thé räcé händs thé töwér sträïght tö {name} ön türn öné, wïth évérýbödý élsé älréädý rünnïng. Ït ïs thé röünd thé räcé wöüld hävé stärtéd. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
SETUP_NOTE_UNIMPLEMENTED,This tower win condition is declared but not implemented; the tower cannot win the round under it.,[Thïs töwér wïn cöndïtïön ïs décläréd büt nöt ïmpléméntéd; thé töwér cännöt wïn thé röünd ündér ït. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]
SETUP_NOTE_SHUTOUT,The tower wins by converting {count} of the {total} prisoners; the rest may reach the end and it still counts.,[Thé töwér wïns bý cönvértïng {count} öf thé {total} prïsönérs; thé rést mäý réäch thé énd änd ït stïll cöünts. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]
SETUP_NOTE_HOLD,The tower wins by holding out for {seconds} seconds. Converting the whole ring is not a win under this rule; surviving the clock is.,[Thé töwér wïns bý höldïng öüt för {seconds} sécönds. Cönvértïng thé whölé rïng ïs nöt ä wïn ündér thïs rülé; sürvïvïng thé clöck ïs. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]
SETUP_TOWER_WIN_TOTAL,Converting every prisoner,[Cönvértïng évérý prïsönér ~~~~ ~~~~]
SETUP_TOWER_WIN_SHUTOUT,Converting a set number,[Cönvértïng ä sét nümbér ~~~~ ~~~~]
SETUP_TOWER_WIN_HOLD,Holding out for a time,[Höldïng öüt för ä tïmé ~~~~ ~~~~]
SETUP_PRISONER_WIN_FIRST,One reaching the end,[Öné réächïng thé énd ~~~~ ~~~~]
SETUP_PRISONER_WIN_ALL,All of them reaching the end,[Åll öf thém réächïng thé énd ~~~~ ~~~~]
SETUP_ABILITY_NONE,None,[Nöné ~~~~]
SETUP_ABILITY_BUBBLE_SHIELD,Bubble Shield,[Bübblé Shïéld ~~~~]
SETUP_ABILITY_HOLOGRAM,Hologram,[Hölögräm ~~~~]
SETUP_ABILITY_ARMOR_LOCK,Armor Lock,[Årmör Löck ~~~~]
SETUP_ABILITY_ACTIVE_CAMO,Active Camo,[Åctïvé Cämö ~~~~]
